Gene,log2FoldChange,pvalue,padj
Ezh2,-0.022,0.84,0.963
Aass,-0.196,0.512,0.847
Ssc4d,-0.443,0.267,0.691
Rbm28,0.0818,0.249,0.676
Lrwd1,0.0626,0.417,0.797
Cux1,0.193,0.0000233,0.0048
Gcc1,-0.0902,0.144,0.557
Ephb4,0.00776,0.914,0.98
Gnb2,0.0749,0.0219,0.255
Gigyf1,0.101,0.0694,0.42
Pop7,-0.106,0.324,0.735
Pcolce,-0.061,0.503,0.842
Gm20605,-0.0205,0.893,0.975
Agfg2,0.0545,0.595,0.89
Spacdr,0.13,0.0523,0.373
Ppp1r35,-0.0422,0.678,0.915
Mepce,0.0533,0.324,0.735
Cyp3a13,-0.498,0.219,0.648
Zkscan1,-0.0468,0.498,0.841
Mcm7,-0.174,0.0866,0.459
Tpk1,0.0661,0.669,0.912
Asns,-0.52,0.0472,0.357
Dlx5,-0.285,0.617,0.898
Dync1i1,-0.176,0.767,0.943
Pon3,-0.214,0.00402,0.109
Cald1,0.0186,0.806,0.953
Akr1b8,-0.233,0.11,0.505
Exoc4,-0.117,0.00959,0.171
Plxna4,0.00646,0.925,0.983
Calu,0.00935,0.776,0.946
Ccdc136,-0.0936,0.554,0.87
Irf5,-0.0653,0.739,0.934
Ahcyl2,-0.0726,0.214,0.644
Klhdc10,0.0944,0.0664,0.412
Hibadh,0.0308,0.52,0.852
Gars,0.00787,0.851,0.964
Adcyap1r1,-0.194,0.137,0.547
Nt5c3,-0.0168,0.816,0.957
Fkbp9,-0.0367,0.229,0.659
Tmem209,-0.164,0.0153,0.215
Avl9,-0.174,0.0548,0.381
Cep41,-0.221,0.154,0.57
Sspo,0.226,0.349,0.755
Herc6,-0.172,0.217,0.646
Abcg2,-0.168,0.0424,0.342
Herc3,0.0217,0.792,0.95
Tmem176b,-0.265,0.01,0.175
Aoc1l2,1.43,0.0972,0.482
Igf2bp3,0.738,0.0685,0.418
Malsu1,0.0225,0.771,0.944
Gpnmb,-0.00984,0.958,0.99
Tra2a,-0.0574,0.457,0.822
Npy,0.24,0.77,0.944
Gsdme,-0.0346,0.81,0.955
Osbpl3,0.278,0.000489,0.0337
Luc7l2,0.0687,0.146,0.559
Zc3hav1,-0.221,0.00558,0.129
4921507P07Rik,0.0389,0.909,0.979
Svopl,-0.765,0.0206,0.248
Nfe2l3,0.352,0.492,0.838
Trim24,-0.108,0.165,0.587
Cbx3,0.0274,0.538,0.862
Ptn,0.309,0.0154,0.217
Mtpn,-0.0987,0.0258,0.276
Slc13a4,-0.25,0.488,0.837
Hoxa1,0.0363,0.953,0.989
Slc23a4,-0.204,0.743,0.935
Tcaf2,-0.0125,0.932,0.984
Epha1,-0.287,0.368,0.768
Zyx,-0.0302,0.704,0.923
Fam131b,0.166,0.475,0.83
Clcn1,0.177,0.129,0.535
Casp2,0.0312,0.649,0.908
Gstk1,0.0377,0.574,0.878
Ephb6,-0.0275,0.884,0.971
Ccdc184,-0.0667,0.811,0.955
Mad2l1,-0.145,0.258,0.686
Ssbp1,-0.0115,0.841,0.963
Prdm5,-0.0114,0.915,0.981
Clec5a,-0.335,0.0839,0.454
Agk,0.00793,0.905,0.978
Mrps33,0.0436,0.646,0.907
Hpgds,-0.512,0.0287,0.288
Smarcad1,0.00214,0.975,0.994
Mkrn1,-0.171,0.0328,0.306
Rab19,-0.876,0.169,0.591
Slc37a3,-0.0334,0.586,0.885
Tbxas1,-0.207,0.241,0.669
Gfpt1,0.0213,0.747,0.936
Nfu1,-0.0438,0.487,0.836
Anxa4,-0.226,0.000309,0.0257
Pcyox1,-0.0768,0.0617,0.399
Tgfa,-0.519,0.019,0.238
Add2,-0.56,0.237,0.667
Dusp11,0.0424,0.492,0.839
Cct7,0.0676,0.084,0.454
Pradc1,0.0938,0.383,0.777
Zfp638,0.0731,0.378,0.775
Reg3g,-1.21,0.767,0.943
Fbxl14,0.00501,0.946,0.987
Prickle2,-0.115,0.184,0.61
Adamts9,0.149,0.122,0.524
Lrig1,0.0312,0.629,0.901
1700003E16Rik,-0.0625,0.752,0.938
Kbtbd8,-0.367,0.0999,0.486
Wdr54,0.0927,0.583,0.883
Ino80b,-0.0276,0.694,0.92
Wbp1,0.0468,0.297,0.716
Mogs,0.253,0.00718,0.148
Mrpl53,-0.00531,0.944,0.986
Pole4,-0.0574,0.498,0.841
Tacr1,-1.65,0.272,0.696
Mrpl19,-0.00139,0.986,0.996
Bmp10,-0.927,0.243,0.671
Arhgap25,-0.271,0.165,0.586
Gkn3,0.133,0.71,0.925
Aplf,-0.215,0.105,0.496
Gp9,-0.864,0.0696,0.42
Rab43,0.0514,0.787,0.949
Isy1,0.135,0.0699,0.421
Cnbp,-0.0491,0.23,0.659
Copg1,0.0361,0.572,0.878
Tmf1,-0.00674,0.904,0.978
Hmces,0.0235,0.857,0.966
Uba3,0.00554,0.902,0.978
Rpn1,0.00512,0.934,0.984
Frmd4b,-0.0666,0.47,0.827
Foxp1,-0.025,0.71,0.925
Gm20696,0.471,0.242,0.671
Gxylt2,-0.00638,0.962,0.991
Cntn3,0.866,0.124,0.526
Chl1,-0.326,0.0969,0.482
Ruvbl1,-0.0932,0.249,0.676
Sec61a1,-0.0257,0.713,0.925
Abtb1,0.00704,0.926,0.983
Plxna1,0.169,0.014,0.207
Chchd6,0.137,0.121,0.522
Klf15,0.121,0.432,0.807
Aldh1l1,-0.76,0.0000657,0.00961
Slc41a3,-0.1,0.463,0.824
Nup210,-0.131,0.502,0.842
Xpc,-0.0675,0.331,0.742
Tmem43,-0.137,0.0528,0.375
Slc6a6,-0.183,0.0156,0.218
Grip2,0.403,0.0062,0.135
Sumf1,-0.155,0.00632,0.137
Itpr1,0.0117,0.837,0.962
Bhlhe40,0.339,0.000817,0.0439
Edem1,-0.262,0.0104,0.178
Arl8b,-0.0524,0.168,0.589
Usp18,-0.304,0.107,0.5
Slc6a13,-0.491,0.462,0.824
Ret,-0.0306,0.842,0.963
A2m,-1.32,0.00026,0.0232
Klrg1,-1.1,0.357,0.761
Mfap5,-0.172,0.114,0.51
Gdf3,-0.44,0.739,0.934
Mlf2,0.061,0.051,0.369
Ptms,-0.0286,0.732,0.932
Plxnd1,0.0313,0.718,0.927
Lag3,-0.768,0.0849,0.455
Lrrc23,0.119,0.838,0.962
Tmcc1,0.184,0.0294,0.291
Cops7a,0.0415,0.211,0.641
Rasgef1a,-0.85,0.012,0.191
Tuba8,0.0575,0.757,0.939
Bms1,0.0944,0.0491,0.362
Clec4e,0.555,0.538,0.862
Clec4d,-0.969,0.0597,0.394
Zfp248,-0.00149,0.994,0.998
Clec4b1,-0.261,0.677,0.915
Clec4a2,-0.0913,0.771,0.944
Klrk1,-0.15,0.815,0.956
Clec2e,-0.215,0.648,0.907
Cd69,-2.29,0.0281,0.286
Clec2d,-0.109,0.357,0.761
Clec12b,-0.131,0.712,0.925
Clec1b,-0.851,0.00151,0.0626
Gabarapl1,-0.14,0.105,0.496
Olr1,-0.625,0.363,0.765
Klrd1,-0.0506,0.94,0.986
Rad52,0.0489,0.58,0.881
Klrc1,0.102,0.924,0.983
Adipor2,-0.215,0.00601,0.134
Wnt5b,-0.0116,0.942,0.986
Erc1,0.234,0.00000203,0.000784
Ccdc77,-0.144,0.135,0.545
Kdm5a,-0.1,0.22,0.649
Klra2,-1.03,0.0862,0.459
Magohb,0.0442,0.752,0.938
Ybx3,0.0519,0.245,0.673
Etv6,0.123,0.164,0.585
Lrp6,-0.00985,0.863,0.967
Dusp16,-0.0506,0.502,0.842
Ddx47,0.0365,0.467,0.825
Gsg1,-0.532,0.329,0.739
Fam234b,0.0651,0.505,0.843
Emp1,-0.0293,0.7,0.922
Atf7ip,0.0763,0.257,0.685
Plbd1,-0.262,0.0000804,0.0112
Wbp11,0.0781,0.147,0.562
Art4,-0.212,0.0246,0.27
Mgp,-0.0335,0.789,0.949
Erp27,-0.418,0.586,0.885
Arhgdib,-0.283,0.0149,0.214
Rerg,-0.0822,0.528,0.857
Ptpro,-0.282,0.0989,0.484
Strap,-0.00197,0.962,0.991
Dera,-0.212,0.201,0.63
Pik3c2g,-1.67,0.188,0.614
Plekha5,0.257,0.000000736,0.00036
Aebp2,0.0189,0.664,0.911
Slco1c1,-0.46,0.354,0.759
Slco1a4,0.149,0.588,0.886
Recql,-0.17,0.0397,0.332
Gys2,-3.08,0.00387,0.108
Golt1b,0.00028,0.997,0.999
Ldhb,0.0648,0.186,0.611
Kcnj8,-0.00654,0.919,0.981
Abcc9,0.0705,0.186,0.611
Rad18,0.0885,0.675,0.914
Sspn,0.135,0.000622,0.0377
Bhlhe41,-0.0872,0.467,0.825
Srgap3,0.031,0.876,0.969
Rassf8,0.0999,0.0802,0.445
Irag2,-0.479,0.153,0.569
Thumpd3,-0.00856,0.904,0.978
Kras,0.00791,0.875,0.969
Bcat1,-0.108,0.647,0.907
Mtmr14,-0.0595,0.43,0.806
Ogg1,-0.157,0.123,0.525
Camk1,-0.0109,0.835,0.962
Etnk1,-0.0751,0.108,0.501
Ttll3,-0.0779,0.667,0.911
Cidec,-2.06,0.0078,0.154
C2cd5,0.185,0.0011,0.0516
Il17rc,-0.0185,0.872,0.969
Cmas,-0.0638,0.281,0.702
St8sia1,-0.614,0.219,0.648
Creld1,0.00681,0.91,0.98
Emc3,-0.0117,0.776,0.945
Itpr2,-0.161,0.0641,0.406
Med21,-0.115,0.241,0.669
Smco2,0.053,0.913,0.98
Sec13,0.0405,0.467,0.826
Ccdc91,0.000255,0.996,0.999
Atp2b2,-0.236,0.357,0.761
Far2,-0.394,0.137,0.547
Ergic2,-0.035,0.473,0.828
Tmtc1,-0.173,0.0838,0.454
Caprin2,0.0378,0.681,0.916
Slc6a1,1.07,0.285,0.706
Dennd5b,0.0508,0.581,0.882
Atg7,-0.0293,0.622,0.899
Vgll4,-0.0353,0.789,0.949
Tamm41,-0.0286,0.771,0.944
Timp4,-0.464,0.137,0.547
Cand2,0.171,0.00822,0.157
Efcab12,0.374,0.589,0.886
Mbd4,-0.22,0.199,0.627
Ift122,-0.114,0.339,0.747
Rho,-0.0455,0.946,0.986
Klrb1c,-0.214,0.775,0.945
Necap1,-0.0213,0.7,0.922
Pianp,0.106,0.622,0.899
Ing4,0.164,0.308,0.723
Mrpl51,0.0192,0.756,0.939
Cd27,-1.36,0.0651,0.408
Vamp1,-0.0151,0.885,0.972
Ltbr,0.0108,0.848,0.964
Scnn1a,0.15,0.549,0.867
Tnfrsf1a,-0.159,0.0104,0.178
Cd9,-0.216,0.00489,0.12
Rad51ap1,-0.9,0.00537,0.126
D6Wsu163e,-0.0473,0.59,0.887
Tspan11,0.0794,0.688,0.918
Tspan9,-0.043,0.462,0.824
Tead4,-0.0248,0.85,0.964
Fkbp4,0.13,0.0611,0.397
Pzp,-0.427,0.113,0.509
Clec2i,-1.54,0.0641,0.406
Strn4,0.0881,0.0319,0.302
Slc8a2,0.246,0.185,0.611
Mzf1,0.0747,0.772,0.944
Zfp606,-0.0926,0.264,0.689
Zik1,0.0744,0.703,0.923
Mark4,0.0557,0.397,0.785
Ckm,0.0963,0.0556,0.384
Ercc2,0.139,0.0912,0.467
Rtn2,0.196,0.00186,0.0712
Ppm1n,-0.746,0.559,0.871
Vasp,0.00333,0.972,0.994
Gipr,0.232,0.451,0.819
Qpctl,0.0948,0.424,0.802
Dmpk,0.168,0.00497,0.12
Dmwd,0.161,0.00483,0.119
Nova2,0.0688,0.523,0.854
Pglyrp1,-0.788,0.11,0.505
Pdcd5,0.0769,0.221,0.65
Uri1,-0.143,0.0791,0.443
Pop4,0.0189,0.837,0.962
Lilra6,-0.158,0.806,0.953
Ttyh1,0.0303,0.88,0.971
Tmem238,-0.0344,0.783,0.948
Rpl28,-0.0462,0.314,0.726
Sbk2,-0.0325,0.888,0.973
U2af2,0.0745,0.0596,0.393
Zfp583,-0.0328,0.884,0.971
Zfp273,-0.0721,0.675,0.914
Cyfip1,-0.0624,0.136,0.546
Herc2,0.0893,0.169,0.591
Nipa2,-0.0566,0.299,0.717
Psd3,-0.207,0.047,0.357
Siglecg,-1.99,0.00781,0.154
Zfp719,-0.0297,0.773,0.945
Csrp3,-0.0242,0.735,0.934
Zdhhc13,-0.0141,0.846,0.964
Siglece,-0.333,0.144,0.556
Cyp2b10,-0.673,0.104,0.493
Zfp108,-0.0653,0.7,0.922
Tdrd12,-0.204,0.793,0.95
Faap24,-0.482,0.0347,0.314
Rhpn2,0.0349,0.754,0.939
Slc7a10,-1.8,0.0489,0.362
Gas2,0.0764,0.594,0.889
Kctd15,-0.0889,0.652,0.908
Prmt3,0.0149,0.83,0.96
Asb7,-0.0241,0.748,0.937
Cers3,-0.582,0.414,0.796
Snrpa1,0.0344,0.678,0.915
Pcsk6,0.119,0.0225,0.258
Tarsl2,0.00726,0.886,0.972
Tjp1,0.15,0.00308,0.0958
Apba2,0.0601,0.788,0.949
Mphosph10,0.0369,0.609,0.896
Mtmr10,-0.0703,0.427,0.804
Crtc3,0.19,0.0028,0.0918
Blm,-0.252,0.124,0.526
Furin,0.0103,0.87,0.968
Hddc3,-0.271,0.0818,0.449
Unc45a,-0.0858,0.355,0.76
Vps33b,0.536,0.000701,0.0395
Iqgap1,-0.0397,0.587,0.885
Cib1,-0.145,0.238,0.667
Sema4b,0.161,0.11,0.505
Idh2,0.092,0.17,0.593
Pex11a,-0.193,0.0304,0.297
Plin1,-1.89,0.0233,0.264
Nr2f2,-0.00748,0.93,0.984
Synm,-0.0342,0.709,0.924
Ttc23,0.026,0.76,0.94
Lrrc28,-0.0504,0.588,0.886
Mef2a,0.208,0.000906,0.0469
Rab38,-0.173,0.831,0.961
Ctsc,-0.0198,0.867,0.968
Nox4,0.184,0.505,0.843
Cd22,-3.76,0.000108,0.013
Tyrobp,-0.203,0.188,0.614
Sipa1l3,0.0286,0.753,0.939
Dpf1,-0.0504,0.92,0.982
2200002D01Rik,-0.239,0.349,0.755
Yif1b,0.181,0.00233,0.0814
Rasgrp4,-0.0425,0.789,0.949
Fam98c,0.0274,0.762,0.941
Psmd8,0.0188,0.679,0.915
Ryr1,0.383,0.4,0.787
Nfkbib,0.0105,0.858,0.966
Fbxo17,-0.0127,0.958,0.99
Lrfn1,0.209,0.563,0.874
Pak4,-0.00832,0.932,0.984
Psmc4,0.0611,0.111,0.505
Zfp626,0.132,0.201,0.63
Mfge8,-0.0402,0.54,0.863
Hapln3,0.129,0.765,0.942
Acan,0.302,0.533,0.859
Aen,0.016,0.801,0.952
Det1,0.12,0.0999,0.486
Mrps11,0.115,0.151,0.565
Mrpl46,0.0386,0.605,0.895
Ccdc90b,-0.0176,0.811,0.955
Tmem126b,-0.00439,0.941,0.986
Tmem126a,-0.0191,0.817,0.957
Sytl2,-0.363,0.17,0.593
Ccdc83,-0.772,0.422,0.8
Eed,-0.0427,0.507,0.844
Me3,0.136,0.0167,0.225
Zfand6,-0.00947,0.848,0.964
Fah,-0.0372,0.765,0.942
Sh3gl3,0.049,0.902,0.977
Ddias,-0.479,0.184,0.609
Rab30,-0.177,0.26,0.687
Ndufc2,0.0103,0.874,0.969
Anapc15,-0.105,0.315,0.727
Tmc5,-0.176,0.492,0.838
Art2b,-2.09,0.124,0.526
Coq7,-0.0163,0.778,0.946
Arl6ip1,-0.211,0.00524,0.124
Smg1,0.0265,0.825,0.96
Xylt1,-0.116,0.418,0.798
Nucb2,-0.208,0.0557,0.384
Pik3c2a,-0.0673,0.648,0.907
Ipo5,0.093,0.0282,0.286
1110004F10Rik,0.0481,0.346,0.752
Sox6os,-0.195,0.706,0.924
Cyp2r1,-0.186,0.697,0.921
Pde3b,-0.55,0.108,0.501
Mylpf,0.00141,0.997,0.999
Qprt,-1.66,0.0489,0.362
Kif22,-0.626,0.0629,0.402
Maz,0.142,0.0014,0.0599
Mvp,-0.0337,0.651,0.908
Cdipt,0.0358,0.6,0.892
Sez6l2,0.0606,0.745,0.936
Kctd13,-0.0857,0.459,0.823
Stard10,-0.414,0.0767,0.437
Ino80e,0.0819,0.202,0.63
Fchsd2,-0.0636,0.372,0.771
Klk10,-0.0124,0.981,0.995
Aldoa,0.145,0.000948,0.048
Ppp4c,0.0482,0.478,0.832
Tbx6,0.0855,0.725,0.929
Plekhb1,-0.288,0.133,0.541
Gdpd3,-0.277,0.267,0.691
Rab6a,-0.0325,0.338,0.745
Mrpl48,0.0835,0.119,0.519
Coro1a,-0.631,0.0994,0.485
Dnajb13,-1.55,0.00506,0.121
Sult1a1,-0.18,0.392,0.782
Sgf29,0.075,0.402,0.788
Nupr1,-0.00538,0.977,0.994
Ppme1,0.026,0.682,0.916
Cln3,0.0485,0.634,0.903
Nfatc2ip,-0.257,0.0462,0.354
Cd19,-2.38,0.0177,0.231
Lipt2,-0.1,0.369,0.768
Pold3,-0.0295,0.724,0.928
Rabep2,0.0189,0.82,0.958
Pgm2l1,-0.276,0.000617,0.0377
Atp2a1,0.571,0.0237,0.265
Syt3,-0.236,0.108,0.502
Chrdl2,-0.793,0.333,0.744
Sh2b1,0.0789,0.101,0.487
Gm9755,0.382,0.199,0.627
Slco2b1,-0.232,0.00731,0.149
Eif3c,0.0414,0.251,0.678
Myh14,0.149,0.0676,0.415
Spns1,0.175,0.00484,0.119
Lat,-1.49,0.0217,0.255
Rps3,-0.0591,0.232,0.662
Il21r,-1,0.0311,0.3
Dgat2,0.00581,0.943,0.986
Il4ra,-0.26,0.0467,0.356
Nsmce1,0.0326,0.675,0.914
Psma1,0.0103,0.827,0.96
Kdm8,0.122,0.264,0.689
Thap12,-0.0228,0.597,0.891
Copb1,-0.0602,0.199,0.627
Zkscan2,-0.177,0.598,0.891
Far1,-0.0751,0.184,0.609
Acer3,-0.13,0.134,0.543
Myo7a,-0.184,0.0304,0.297
Aqp8,-0.547,0.14,0.551
Lcmt1,0.0584,0.337,0.745
Arhgap17,-0.124,0.0582,0.391
Disp1,-0.00718,0.942,0.986
Parva,-0.00443,0.925,0.983
Dkk3,-0.421,0.2,0.629
Pak1,-0.155,0.502,0.842
Trat1,-1.39,0.258,0.686
Rbbp6,-0.0242,0.708,0.924
Rusf1,0.0822,0.407,0.791
Tgfb1i1,0.0395,0.657,0.91
Cox6a2,0.12,0.0597,0.394
Itgam,-0.375,0.0478,0.359
Lyve1,-0.375,0.0277,0.285
Rnf141,-0.174,0.000524,0.035
Itgax,-0.564,0.208,0.637
Adm,-0.221,0.134,0.542
Pycard,-0.00177,0.989,0.996
Fus,0.0236,0.635,0.903
Tead2,0.0509,0.657,0.91
Cd37,-0.939,0.0249,0.271
Kat8,0.0721,0.395,0.784
Bckdk,-0.0235,0.512,0.848
Stx4a,0.013,0.782,0.947
Stx1b,-0.136,0.504,0.843
Fbxl19,0.129,0.193,0.619
Bcl7c,0.0296,0.628,0.901
Phkg2,-0.0967,0.318,0.73
Rnf40,0.0532,0.309,0.724
Prr14,0.0323,0.544,0.864
9130019O22Rik,0.0937,0.556,0.87
Nucb1,0.0481,0.154,0.569
Hsd17b14,-0.489,0.621,0.899
Bcat2,0.111,0.021,0.251
Itgal,-0.629,0.15,0.563
Nomo1,0.0113,0.795,0.951
Ush1c,0.00626,0.972,0.994
Sergef,-0.203,0.209,0.638
Lamtor1,0.0184,0.691,0.919
Rgs10,-0.308,0.0101,0.176
Tial1,0.0728,0.119,0.521
Bag3,0.192,0.00297,0.0945
Fgfr2,-0.249,0.384,0.778
Ate1,0.000541,0.99,0.996
Tacc2,-0.0946,0.443,0.814
Acadsb,0.0144,0.789,0.949
Cpxm2,-1.27,0.000191,0.0196
Chp2,0.158,0.486,0.835
Plk1,-0.981,0.00154,0.0633
Dctn5,-0.0268,0.631,0.901
Ndufab1,0.0278,0.651,0.908
Ubfd1,0.2,0.000315,0.0257
Ears2,0.201,0.0151,0.215
Gga2,0.0215,0.693,0.92
Mettl9,0.0144,0.751,0.938
Cdr2,-0.163,0.154,0.571
Mrpl17,0.0261,0.61,0.897
Polr3e,0.026,0.709,0.924
Arfip2,0.00988,0.866,0.968
Dnhd1,-0.188,0.417,0.797
Uqcrc2,0.0391,0.515,0.85
Pdzd9,0.0765,0.694,0.92
Rrp8,-0.045,0.573,0.878
Vwa3a,-0.285,0.0389,0.33
Ilk,0.0589,0.41,0.793
Tpp1,-0.000192,0.996,0.999
Crym,-0.111,0.856,0.966
Zp2,-0.0599,0.853,0.965
Tmem159,-0.0502,0.504,0.843
Trim30a,-0.285,0.00646,0.138
Lyrm1,-0.0847,0.558,0.871
Rexo5,-0.473,0.0814,0.448
Eri2,-0.392,0.00981,0.173
Chst15,-0.137,0.294,0.714
Oat,0.0346,0.485,0.835
Acsm3,-2.07,0.0176,0.23
Thumpd1,-0.07,0.194,0.619
Lhpp,-0.0687,0.472,0.828
Fam53b,0.0592,0.439,0.811
Eef1akmt2,0.0489,0.672,0.913
Abraxas2,0.039,0.564,0.874
Trim21,-0.131,0.183,0.609
Zranb1,0.0524,0.293,0.714
Ctbp2,0.0689,0.301,0.718
Acsm5,-0.661,0.00442,0.114
Rrm1,0.0102,0.869,0.968
Uros,-0.0265,0.715,0.925
Knop1,-0.171,0.0134,0.203
Vps35l,0.0493,0.291,0.712
Bccip,0.0398,0.51,0.846
Dhx32,0.0293,0.669,0.912
Stim1,-0.102,0.157,0.576
Pgap2,-0.107,0.121,0.522
D7Ertd443e,-0.601,0.0481,0.359
Art1,0.049,0.408,0.791
Mki67,-1.02,0.00604,0.134
Atp6ap2,-0.161,0.02,0.245
Usp9x,-0.00438,0.97,0.993
Cask,-0.114,0.11,0.505
Swap70,-0.111,0.279,0.701
Wee1,0.0823,0.468,0.826
Tmem9b,0.00246,0.967,0.993
Akip1,-0.124,0.202,0.63
Dennd2b,0.194,0.0309,0.299
Trim66,-0.0342,0.932,0.984
Tub,0.191,0.607,0.896
Eif3f,0.0446,0.255,0.684
Ndufb11,0.0701,0.25,0.677
Rbm10,0.0807,0.0834,0.453
Cdk16,0.124,0.019,0.238
Usp11,0.0431,0.68,0.916
Glrx3,-0.0427,0.335,0.744
Mrgprf,0.00519,0.979,0.995
LTO1,-0.00206,0.978,0.995
Ano1,0.0924,0.332,0.743
Fadd,0.0263,0.707,0.924
Cttn,-0.00274,0.948,0.987
Zfp300,-0.296,0.417,0.797
Slc6a14,-0.464,0.649,0.908
Nadsyn1,-0.16,0.195,0.621
Dock11,-0.236,0.0599,0.394
Cul4b,-0.0749,0.228,0.658
Tnni2,0.115,0.64,0.904
Smarca1,-0.21,0.298,0.716
Sash3,-0.894,0.0315,0.301
Elf4,-0.00469,0.963,0.991
Rab33a,-0.333,0.443,0.814
Slc25a14,-0.239,0.182,0.608
Rbmx2,-0.0662,0.674,0.914
Enox2,-0.03,0.691,0.919
Igsf1,0.0683,0.63,0.901
Stk26,-0.457,0.0819,0.449
Gpc4,0.00449,0.959,0.99
3830403N18Rik,0.382,0.205,0.633
Slc9a9,-0.305,0.0333,0.307
Cd40lg,-0.274,0.867,0.968
Arhgef6,0.102,0.00767,0.151
Rbmx,0.0931,0.227,0.657
Fgf13,0.0582,0.294,0.714
Ccdc22,-0.0688,0.874,0.969
Syp,-0.257,0.247,0.673
Prickle3,0.307,0.00102,0.0504
Plp2,0.0698,0.186,0.611
Magix,0.078,0.226,0.656
Gpkow,0.0416,0.448,0.817
Praf2,0.0434,0.69,0.919
Ccdc120,0.0523,0.824,0.959
Gripap1,0.0473,0.305,0.721
Otud5,-0.0551,0.227,0.657
Pim2,-0.282,0.0752,0.434
Slc35a2,0.105,0.159,0.577
Pqbp1,-0.106,0.0606,0.396
Timm17b,-0.00383,0.952,0.989
Hdac6,-0.0161,0.811,0.955
Was,-0.366,0.121,0.522
Wdr13,0.0185,0.755,0.939
Rbm3,-0.134,0.335,0.744
Ebp,-0.00466,0.959,0.99
Porcn,0.213,0.0767,0.437
Slc38a5,-0.598,0.374,0.772
Ftsj1,0.0896,0.274,0.697
Rpgr,0.0644,0.613,0.897
Dynlt3,-0.184,0.0000346,0.00606
Aff2,-0.085,0.668,0.911
F8,-0.266,0.105,0.496
Vbp1,-0.0159,0.805,0.953
Fundc2,-0.00114,0.984,0.995
Mtcp1,0.0467,0.799,0.952
Brcc3,0.0449,0.417,0.797
Rab39b,-0.311,0.499,0.841
Asb12,0.0488,0.676,0.915
Msn,-0.00694,0.884,0.971
Heph,-0.262,0.0948,0.477
Gpr165,0.822,0.324,0.735
Ophn1,-0.0289,0.74,0.935
Stard8,0.0208,0.702,0.923
Efnb1,-0.0632,0.345,0.751
Igbp1,-0.0069,0.9,0.976
Pbdc1,0.104,0.202,0.631
Magee1,-0.0103,0.913,0.98
Atrx,-0.0703,0.556,0.87
Fgf16,0.0957,0.45,0.818
Cox7b,0.0904,0.183,0.609
Magt1,0.0177,0.74,0.935
Itm2a,0.143,0.222,0.652
Chmp1b2,0.0274,0.742,0.935
Hmgn5,-0.104,0.177,0.601
Sh3bgrl,-0.171,0.0178,0.231
Tnmd,0.179,0.799,0.952
Srpx2,-0.0784,0.415,0.796
Sytl4,-0.299,0.0855,0.457
Cstf2,-0.00387,0.961,0.991
Xkrx,0.0649,0.765,0.942
Cenpi,-1.5,0.00296,0.0944
Btk,-0.365,0.245,0.673
Gla,-0.216,0.135,0.545
Col4a6,0.178,0.39,0.781
Col4a5,0.199,0.00289,0.0932
Acsl4,-0.000882,0.991,0.997
Chrdl1,-0.193,0.493,0.839
Pak3,-0.141,0.705,0.924
Glt28d2,-0.0427,0.76,0.94
Lrch2,-0.0722,0.653,0.908
Cdkl5,0.256,0.0123,0.193
Rs1,0.29,0.426,0.804
Phka2,0.0476,0.464,0.825
Slc7a3,0.278,0.712,0.925
Adgrg2,-0.634,0.00404,0.11
Pdha1,0.0762,0.12,0.521
Nlgn3,0.296,0.472,0.828
Map3k15,-0.36,0.169,0.591
Il2rg,-0.41,0.0498,0.365
Rps6ka3,-0.00404,0.952,0.988
Zmym3,0.0757,0.407,0.791
Nono,-0.0316,0.393,0.782
Itgb1bp2,0.054,0.517,0.851
Taf1,-0.0107,0.849,0.964
Rps4x,-0.0582,0.24,0.669
Chic1,-0.0131,0.946,0.987
Flna,0.16,0.195,0.621
Abcb7,0.0237,0.716,0.926
Mtm1,0.0608,0.433,0.808
Gabre,-0.0189,0.913,0.98
Gpm6b,-0.206,0.00137,0.0591
Gabra3,-0.236,0.252,0.68
Gabrq,-0.598,0.213,0.642
Cetn2,-0.0528,0.497,0.841
Nsdhl,-0.0145,0.891,0.974
Zfp185,-0.59,0.0114,0.185
Hccs,-0.00662,0.903,0.978
Rbbp7,0.0233,0.553,0.869
Arhgap6,0.0958,0.292,0.713
Syap1,-0.0902,0.043,0.343
Msl3,-0.0182,0.694,0.92
Ctps2,-0.121,0.204,0.633
Zfp275,-0.0843,0.189,0.615
Ap1s2,-0.0403,0.654,0.908
Zrsr2,-0.103,0.118,0.518
Haus7,0.0577,0.654,0.908
Car5b,-1.38,0.014,0.207
Bgn,0.0126,0.901,0.977
Atp2b3,-0.59,0.289,0.711
Bmx,-0.378,0.0248,0.271
Abcd1,0.106,0.0422,0.341
Pir,-0.241,0.0475,0.358
Vegfd,-0.391,0.014,0.207
Piga,-0.148,0.258,0.686
Asb11,-0.035,0.731,0.932
Plxnb3,-0.23,0.0238,0.266
Hcfc1,0.0871,0.111,0.505
Renbp,-0.2,0.215,0.644
Naa10,0.0633,0.215,0.644
Arhgap4,-0.714,0.0279,0.285
L1cam,-0.0246,0.891,0.974
Irak1,-0.0331,0.335,0.744
Mecp2,0.117,0.0635,0.404
Plxna3,0.269,0.213,0.642
Fam3a,0.0851,0.155,0.572
G6pdx,-0.407,0.0771,0.438
Mpp1,-0.164,0.0877,0.46
Dkc1,0.0507,0.422,0.801
Morf4l2,0.0296,0.548,0.867
Plp1,-0.0128,0.93,0.984
